goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkIfNull/3_args_expression_right-4                     	10000000	       179 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	10000000	       179 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	10000000	       179 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	10000000	       204 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	10000000	       204 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	10000000	       204 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	10000000	       206 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	10000000	       205 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 5000000	       265 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 5000000	       269 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 5000000	       265 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 5000000	       265 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 5000000	       265 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	10000000	       191 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	10000000	       191 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	10000000	       191 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	10000000	       191 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	10000000	       191 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	10000000	       191 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	10000000	       191 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	10000000	       191 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	10000000	       191 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	10000000	       191 ns/op	     224 B/op	       2 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	100000000	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	100000000	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	100000000	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	100000000	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	100000000	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  200000	      8616 ns/op	   12181 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  200000	      8605 ns/op	   12181 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  200000	      8611 ns/op	   12181 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  200000	      8647 ns/op	   12181 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  200000	      8624 ns/op	   12181 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	100000000	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	100000000	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	100000000	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	100000000	        15.9 ns/op	       0 B/op	       0 allocs/op
