goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkUnion/5_SELECTs_not_cached-4                      	   91194	     12972 ns/op	   11741 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	 8971819	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	10733805	       118 ns/op	      32 B/op	       1 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	 8877297	       124 ns/op	      32 B/op	       1 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	10369003	       112 ns/op	      32 B/op	       1 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	10266925	       111 ns/op	      32 B/op	       1 allocs/op
BenchmarkUnion/Template-4                                  	73405401	        16.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                  	62142997	        16.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                  	73526343	        16.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                  	72619108	        16.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                  	72701223	        16.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   81457	     14017 ns/op	   14009 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   85863	     13980 ns/op	   14010 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   85676	     13983 ns/op	   14008 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   85825	     13999 ns/op	   14008 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   85740	     14002 ns/op	   14008 B/op	      96 allocs/op
BenchmarkUnion/Template_interpolated-4                     	74603481	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                     	74289232	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                     	71308755	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                     	75034004	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                     	74204142	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUpdateValuesSQL-4                                 	  988748	      1183 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                 	 1000000	      1177 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                 	 1000000	      1162 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                 	 1000000	      1180 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                 	  977336	      1162 ns/op	    3184 B/op	      10 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  664174	      1809 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  672364	      1805 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  672638	      1813 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  670610	      1806 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  666811	      1807 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1406371	       854 ns/op	    1104 B/op	      26 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1403654	       855 ns/op	    1104 B/op	      26 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1407042	       854 ns/op	    1104 B/op	      26 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1406247	       854 ns/op	    1104 B/op	      26 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1403817	       857 ns/op	    1104 B/op	      26 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  495426	      2435 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  494805	      2434 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  495924	      2434 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  484662	      2399 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  504506	      2398 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1000000	      1054 ns/op	    1720 B/op	      43 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1000000	      1055 ns/op	    1720 B/op	      43 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1000000	      1054 ns/op	    1720 B/op	      43 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1000000	      1055 ns/op	    1720 B/op	      43 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1000000	      1055 ns/op	    1720 B/op	      43 allocs/op
BenchmarkInterpolate-4                                     	  630870	      1896 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                                     	  628170	      1897 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                                     	  635162	      1896 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                                     	  632985	      1894 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                                     	  637282	      1903 ns/op	     160 B/op	       1 allocs/op
BenchmarkIsValidIdentifier-4                               	 5524461	       215 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                               	 5623592	       213 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                               	 5614526	       213 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                               	 5665339	       213 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                               	 5600036	       213 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuoteAlias-4                                      	10304766	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                                      	10342335	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                                      	10359516	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                                      	10274349	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                                      	10384561	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5152580	       231 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5209622	       231 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5215492	       230 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5220570	       230 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5217106	       230 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6550306	       183 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6538230	       183 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6553873	       183 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6556824	       184 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6551697	       183 ns/op	       0 B/op	       0 allocs/op
