goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkUnion/Template_interpolated-4                        	100000000	        15.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                        	100000000	        15.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                        	100000000	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUpdateValuesSQL-4                                    	 1000000	      1199 ns/op	    3216 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                    	 1000000	      1200 ns/op	    3216 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                    	 1000000	      1194 ns/op	    3216 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                    	 1000000	      1195 ns/op	    3216 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                    	 1000000	      1196 ns/op	    3216 B/op	      10 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                      	 1000000	      1723 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                      	 1000000	      1719 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                      	 1000000	      1723 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                      	 1000000	      1721 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                      	 1000000	      1721 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/args_all_types-4                            	 2000000	       826 ns/op	     560 B/op	      31 allocs/op
BenchmarkArgsToIFace/args_all_types-4                            	 2000000	       829 ns/op	     560 B/op	      31 allocs/op
BenchmarkArgsToIFace/args_all_types-4                            	 2000000	       828 ns/op	     560 B/op	      31 allocs/op
BenchmarkArgsToIFace/args_all_types-4                            	 2000000	       827 ns/op	     560 B/op	      31 allocs/op
BenchmarkArgsToIFace/args_all_types-4                            	 2000000	       828 ns/op	     560 B/op	      31 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                        	 1000000	      2341 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                        	 1000000	      2312 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                        	 1000000	      2343 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                        	 1000000	      2309 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                        	 1000000	      2339 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/args_numbers-4                              	 2000000	       785 ns/op	     688 B/op	      44 allocs/op
BenchmarkArgsToIFace/args_numbers-4                              	 2000000	       788 ns/op	     688 B/op	      44 allocs/op
