goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkArgsToIFace/reflection_all_types-4                	  677970	      1786 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1747420	       689 ns/op	     464 B/op	      25 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1746932	       689 ns/op	     464 B/op	      25 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1740553	       688 ns/op	     464 B/op	      25 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1740319	       676 ns/op	     464 B/op	      25 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1781630	       672 ns/op	     464 B/op	      25 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  509079	      2371 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  505734	      2372 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  510338	      2368 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  507613	      2373 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  508184	      2370 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1564670	       769 ns/op	     664 B/op	      41 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1558764	       768 ns/op	     664 B/op	      41 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1565946	       766 ns/op	     664 B/op	      41 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1562635	       768 ns/op	     664 B/op	      41 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1565642	       768 ns/op	     664 B/op	      41 allocs/op
BenchmarkInterpolate-4                                     	  670527	      1810 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                                     	  666552	      1813 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                                     	  662918	      1808 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                                     	  665737	      1813 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                                     	  663405	      1816 ns/op	     160 B/op	       1 allocs/op
BenchmarkIsValidIdentifier-4                               	 5253325	       227 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                               	 5348023	       226 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                               	 5338311	       225 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                               	 5337585	       225 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                               	 5319170	       225 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuoteAlias-4                                      	10215426	       117 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                                      	10272412	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                                      	10329082	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                                      	10339123	       117 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                                      	10308992	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5003264	       239 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5043438	       237 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5070116	       237 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5060971	       237 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5038928	       237 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6577927	       183 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6585075	       182 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6589340	       182 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6595377	       182 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6597872	       182 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4      	  223048	      5327 ns/op	    3688 B/op	      90 allocs/op
