goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkQuoteAs-4                                            	10162269	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	10364427	       115 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	10347332	       115 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	10386919	       115 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	 5673200	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	 5673564	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	 5650512	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	 5663209	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	16990339	        70.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	17011161	        70.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	17023228	        70.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	17025727	        70.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	 6475204	       185 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	 6482692	       185 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	 6480967	       185 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	 6490393	       185 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	 5722758	       210 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	 5717016	       210 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	 5509969	       211 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	 5704124	       210 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 4321300	       284 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 4289617	       279 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 4312689	       278 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 4320564	       278 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	 6050362	       197 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	 6105699	       197 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	 6079896	       198 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	 6061809	       198 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	 6086647	       198 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	 6019654	       198 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	 6118737	       198 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	 6063894	       197 ns/op	     208 B/op	       2 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	73614582	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	75312277	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	74849738	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	75089910	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  135738	      8960 ns/op	   11741 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  134534	      9005 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  135271	      8939 ns/op	   11741 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  131899	      8994 ns/op	   11741 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	58960531	        20.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	59042400	        20.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	58961930	        20.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	56697918	        20.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                     	75367411	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                     	73489756	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                     	75347814	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                     	75205008	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_not_cached-4                          	   84806	     14128 ns/op	   14010 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                          	   85093	     14095 ns/op	   14007 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                          	   84706	     14099 ns/op	   14008 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                          	   84783	     14099 ns/op	   14008 B/op	      96 allocs/op
BenchmarkUnion/Template_interpolated-4                        	74989046	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                        	75067645	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                        	75264720	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                        	74635186	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUpdateValuesSQL-4                                    	  985438	      1182 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                    	 1000000	      1181 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                    	 1000000	      1184 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                    	 1000000	      1182 ns/op	    3184 B/op	      10 allocs/op
FAIL
exit status 1
FAIL	github.com/corestoreio/pkg/sql/dml	353.895s
